date,Number
03/01/2016,8277.174565
07/01/2016,8272.018458
07/01/2016,8248.815972
10/01/2016,8318.423428
10/01/2016,8287.486781
09/01/2016,8256.550134
12/01/2016,8368.69548
14/01/2016,8426.701693
14/01/2016,8399.632127
15/01/2016,8457.63834
17/01/2016,8418.967531
17/01/2016,8403.499208
19/01/2016,8369.984507
20/01/2016,8341.625914
21/01/2016,8282.330673
23/01/2016,8268.151377
26/01/2016,8251.394026
30/01/2016,8253.97208
31/01/2016,8287.486781
01/02/2016,8318.423428
03/02/2016,8341.625914
05/02/2016,8372.562561
08/02/2016,8349.360075
10/02/2016,8300.377051
12/02/2016,8256.550134
14/02/2016,8225.613487
17/02/2016,8183.075597
18/02/2016,8158.584085
21/02/2016,8199.832948
20/02/2016,8140.537707
22/02/2016,8282.330673
22/02/2016,8225.613487
23/02/2016,8337.758833
22/02/2016,8302.955105
25/02/2016,8413.16691
24/02/2016,8380.296722
27/02/2016,8457.63834
28/02/2016,8426.701693
28/02/2016,8399.632127
29/02/2016,8364.828399
29/02/2016,8326.15759
02/03/2016,8238.503757
02/03/2016,8302.955105
02/03/2016,8272.018458
04/03/2016,8194.67684
04/03/2016,8163.740193
08/03/2016,8220.457379
07/03/2016,8186.942678
11/03/2016,8241.08181
10/03/2016,8217.879325
14/03/2016,8202.411002
15/03/2016,8179.208516
16/03/2016,8152.13895
17/03/2016,8117.335222
20/03/2016,8088.976629
22/03/2016,8068.352197
26/03/2016,8052.883874
30/03/2016,8047.727766
02/04/2016,8019.369173
02/04/2016,8001.322795
05/04/2016,7970.386148
06/04/2016,7947.183663
08/04/2016,7920.114097
10/04/2016,7885.310369
10/04/2016,7846.63956
12/04/2016,7807.968751
12/04/2016,7780.899185
13/04/2016,7753.829619
13/04/2016,7722.892971
13/04/2016,7703.557567
14/04/2016,7676.488001
15/04/2016,7650.707461
18/04/2016,7653.285515
22/04/2016,7645.551354
25/04/2016,7632.661084
27/04/2016,7606.880545
30/04/2016,7606.880545
04/05/2016,7606.880545
08/05/2016,7593.990275
08/05/2016,7564.342655
09/05/2016,7529.538927
09/05/2016,7498.60228
11/05/2016,7467.665633
11/05/2016,7436.728986
12/05/2016,7405.792339
15/05/2016,7392.902069
17/05/2016,7431.572878
21/05/2016,7454.775363
20/05/2016,7428.994824
22/05/2016,7483.133956
25/05/2016,7459.931471
25/05/2016,7483.133956
28/05/2016,7452.197309
01/06/2016,7441.885093
31/05/2016,7428.994824
05/06/2016,7441.885093
06/06/2016,7467.665633
08/06/2016,7498.60228
10/06/2016,7521.804765
11/06/2016,7545.007251
13/06/2016,7579.810979
17/06/2016,7642.9733
19/06/2016,7614.614707
21/06/2016,7583.678059
22/06/2016,7560.475574
24/06/2016,7525.671846
27/06/2016,7498.60228
27/06/2016,7475.399795
30/06/2016,7498.60228
30/06/2016,7475.399795
04/07/2016,7519.871225
03/07/2016,7490.868118
07/07/2016,7537.273089
10/07/2016,7581.744519
09/07/2016,7552.741412
14/07/2016,7606.880545
17/07/2016,7599.146383
19/07/2016,7552.741412
21/07/2016,7517.937684
23/07/2016,7496.024226
26/07/2016,7498.60228
31/07/2016,7467.665633
02/08/2016,7444.463147
05/08/2016,7436.728986
06/08/2016,7409.659419
08/08/2016,7390.324015
10/08/2016,7351.653206
11/08/2016,7324.58364
13/08/2016,7351.653206
14/08/2016,7382.589853
16/08/2016,7440.596067
17/08/2016,7467.665633
19/08/2016,7529.538927
18/08/2016,7490.868118
23/08/2016,7537.273089
26/08/2016,7537.273089
30/08/2016,7550.163358
03/09/2016,7552.741412
06/09/2016,7545.007251
06/09/2016,7519.226711
10/09/2016,7506.336442
10/09/2016,7483.133956
12/09/2016,7456.06439
14/09/2016,7436.728986
14/09/2016,7405.792339
18/09/2016,7378.722772
20/09/2016,7405.792339
20/09/2016,7382.589853
22/09/2016,7444.463147
25/09/2016,7469.599173
28/09/2016,7498.60228
27/09/2016,7475.399795
01/10/2016,7502.469361
03/10/2016,7593.345762
02/10/2016,7560.475574
02/10/2016,7529.538927
04/10/2016,7637.817192
06/10/2016,7717.09235
05/10/2016,7676.488001
07/10/2016,7761.56378
10/10/2016,7794.433968
13/10/2016,7826.015128
12/10/2016,7800.234589
15/10/2016,7831.171236
17/10/2016,7807.968751
17/10/2016,7784.766266
19/10/2016,7738.361295
20/10/2016,7707.424648
23/10/2016,7676.488001
26/10/2016,7668.753839
26/10/2016,7640.395246
30/10/2016,7637.817192
01/11/2016,7668.753839
01/11/2016,7645.551354
04/11/2016,7699.690486
06/11/2016,7794.433968
06/11/2016,7753.829619
06/11/2016,7726.760052
08/11/2016,7873.709126
07/11/2016,7831.171236
08/11/2016,7916.247016
09/11/2016,7962.651987
11/11/2016,8019.369173
11/11/2016,7993.588634
14/11/2016,7993.588634
17/11/2016,7923.981178
19/11/2016,7900.778692
20/11/2016,7935.58242
20/11/2016,7877.576207
22/11/2016,7996.166688
21/11/2016,7962.651987
23/11/2016,8024.525281
25/11/2016,8086.398575
24/11/2016,8055.461928
28/11/2016,8081.242467
30/11/2016,8055.461928
03/12/2016,8060.618036
06/12/2016,8086.398575
07/12/2016,8132.803546
10/12/2016,8202.411002
14/12/2016,8290.064835
15/12/2016,8318.423428
17/12/2016,8341.625914
18/12/2016,8430.568774
18/12/2016,8395.765046
18/12/2016,8364.828399
20/12/2016,8492.442068
20/12/2016,8453.771259
21/12/2016,8568.494659
21/12/2016,8534.979958
23/12/2016,8632.946007
22/12/2016,8596.853252
26/12/2016,8666.460708
28/12/2016,8710.932138
31/12/2016,8738.646218
03/01/2017,8712.865679
06/01/2017,8689.663194
07/01/2017,8658.726546
09/01/2017,8620.055738
