Country Name,Country Code,Continent,Control of Corruption,Government Effectiveness,Regulatory Quality,Voice and Accountability,GDP Per Capita
Algeria,DZA,Africa,-0.69,-0.54,-1.17,-0.88,3916.88
Austria,AUT,Europe,1.54,1.51,1.44,1.29,44757.63
Belgium,BEL,Europe,1.60,1.33,1.34,1.35,41271.48
Benin,BEN,Africa,-0.48,-0.57,-0.53,0.50,789.44
Denmark,DNK,Europe,2.24,1.89,1.58,1.47,53578.76
Chad,TCD,Africa,-1.45,-1.49,-1.18,-1.34,664.30
Guinea,GIN,Africa,-0.94,-1.01,-0.87,-0.73,661.53
Indonesia,IDN,Asia,-0.39,0.01,-0.12,0.14,3570.29
Lesotho,LSO,Africa,-0.02,-0.80,-0.39,0.03,1039.70
Afghanistan,AFG,Asia,-1.56,-1.22,-1.33,-1.09,561.78
Albania,ALB,Europe,-0.40,0.00,0.19,0.16,4124.98
Andorra,AND,Europe,1.23,1.86,0.87,1.20,36988.62
Angola,AGO,Africa,-1.41,-1.04,-1.00,-1.17,3308.70
Antigua and Barbuda,ATG,North America,0.69,0.27,0.34,0.65,14462.18
Argentina,ARG,South America,-0.31,0.18,-0.47,0.54,12440.32
Armenia,ARM,Europe,-0.57,-0.15,0.25,-0.62,3614.69
Australia,AUS,Oceania,1.77,1.58,1.90,1.30,49755.32
Azerbaijan,AZE,Europe,-0.87,-0.16,-0.28,-1.60,3878.71
"Bahamas, The",BHS,North America,1.13,0.72,0.26,0.94,28785.48
Bahrain,BHR,Asia,-0.06,0.32,0.61,-1.45,22579.09
Bangladesh,BGD,Asia,-0.80,-0.69,-0.80,-0.56,1358.78
Barbados,BRB,North America,1.24,1.08,0.48,1.10,15891.63
Belarus,BLR,Europe,-0.29,-0.51,-0.94,-1.39,4989.43
Belize,BLZ,North America,-0.24,-0.68,-0.51,0.67,4744.74
Bhutan,BTN,Asia,1.14,0.49,-0.67,-0.05,2773.55
Bolivia,BOL,South America,-0.71,-0.57,-0.92,0.01,3104.96
Bosnia and Herzegovina,BIH,Europe,-0.47,-0.43,-0.17,-0.16,4808.41
Botswana,BWA,Africa,0.93,0.51,0.53,0.42,6924.15
Brazil,BRA,South America,-0.44,-0.18,-0.21,0.47,8649.95
Brunei Darussalam,BRN,Asia,0.66,1.07,0.59,-0.95,26939.42
Bulgaria,BGR,Europe,-0.16,0.29,0.66,0.44,7469.03
Burkina Faso,BFA,Africa,-0.13,-0.55,-0.40,0.04,627.10
Burundi,BDI,Africa,-1.18,-1.40,-0.83,-1.51,285.73
Cabo Verde,CPV,Africa,0.88,0.10,-0.30,1.02,2997.75
Cambodia,KHM,Asia,-1.30,-0.69,-0.47,-1.14,1269.91
Cameroon,CMR,Africa,-1.14,-0.76,-0.79,-1.03,1374.51
Canada,CAN,North America,1.98,1.80,1.74,1.38,42183.30
Central African Republic,CAF,Africa,-1.28,-1.77,-1.43,-1.13,382.21
Chile,CHL,South America,1.11,1.02,1.37,1.00,13792.93
China,CHN,Asia,-0.25,0.36,-0.26,-1.62,8123.18
Colombia,COL,South America,-0.34,0.02,0.40,0.10,5805.61
Comoros,COM,Africa,-0.64,-1.54,-1.05,-0.18,775.08
"Congo, Dem. Rep.",COD,Africa,-1.33,-1.51,-1.32,-1.39,405.54
"Congo, Rep.",COG,Africa,-1.21,-1.10,-1.17,-1.16,1528.24
Costa Rica,CRI,North America,0.70,0.36,0.41,1.14,11824.64
Cote d'Ivoire,CIV,Africa,-0.54,-0.67,-0.36,-0.28,1534.97
Croatia,HRV,Europe,0.19,0.49,0.36,0.52,12149.19
Cyprus,CYP,Europe,0.82,0.98,1.05,1.08,23541.49
Czech Republic,CZE,Europe,0.51,1.06,0.99,1.05,18483.72
Dominica,DMA,North America,0.63,0.05,0.20,0.99,7906.72
Dominican Republic,DOM,North America,-0.78,-0.25,-0.07,0.19,6722.22
Ecuador,ECU,South America,-0.67,-0.43,-1.02,-0.25,6018.53
"Egypt, Arab Rep.",EGY,Africa,-0.63,-0.66,-0.92,-1.23,3477.85
El Salvador,SLV,North America,-0.57,-0.28,0.09,0.28,4223.58
Equatorial Guinea,GNQ,Africa,-1.81,-1.41,-1.38,-1.93,8747.35
Estonia,EST,Europe,1.21,1.12,1.70,1.20,17736.80
Ethiopia,ETH,Africa,-0.44,-0.64,-1.10,-1.45,706.76
Fiji,FJI,Oceania,0.13,-0.26,-0.38,-0.03,5233.47
Finland,FIN,Europe,2.28,1.85,1.82,1.49,43401.23
France,FRA,Europe,1.37,1.41,1.07,1.08,36857.12
Gabon,GAB,Africa,-0.75,-0.79,-0.80,-0.96,7179.34
"Gambia, The",GMB,Africa,-0.80,-0.84,-0.51,-1.28,473.19
Georgia,GEO,Europe,0.67,0.51,1.01,0.22,3865.79
Germany,DEU,Europe,1.83,1.74,1.82,1.33,42161.32
Ghana,GHA,Africa,-0.17,-0.20,-0.23,0.64,1513.46
Greece,GRC,Europe,-0.05,0.21,0.15,0.65,17890.57
Grenada,GRD,North America,0.57,-0.18,0.08,0.86,9841.76
Guatemala,GTM,North America,-0.74,-0.60,-0.20,-0.31,4146.74
Guinea-Bissau,GNB,Africa,-1.56,-1.64,-1.24,-0.70,641.60
Guyana,GUY,South America,-0.32,-0.30,-0.42,0.30,4529.14
Haiti,HTI,North America,-1.35,-2.06,-1.24,-0.73,739.60
Honduras,HND,North America,-0.69,-0.73,-0.51,-0.43,2361.16
"Hong Kong SAR, China",HKG,Asia,1.58,1.86,2.15,0.27,43740.99
Hungary,HUN,Europe,0.08,0.45,0.60,0.37,12820.09
Iceland,ISL,Europe,1.99,1.41,1.28,1.34,59764.71
India,IND,Asia,-0.30,0.10,-0.31,0.41,1709.59
"Iran, Islamic Rep.",IRN,Asia,-0.72,-0.20,-1.23,-1.39,5219.11
